# gunzip -c exp/tri3/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Wed Jan  6 01:46:47 EST 2021
#
At utterance begin, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.8,27) frames.
At utterance end, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,14.6,50) frames.
Overall, nonsilence accounts for 94.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.6,16) frames.
Overall, cl accounts for 8.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,10) frames.
Overall, sil accounts for 5.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,14.0,42) frames.
Overall, ix accounts for 5.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.8,9) frames.
Overall, vcl accounts for 5.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.0,9) frames.
Overall, n accounts for 4.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,12) frames.
Overall, s accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.4,21) frames.
Overall, r accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,12) frames.
Overall, iy accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.6,20) frames.
Overall, l accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,14) frames.
Overall, ih accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,13) frames.
Overall, er accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.6,19) frames.
Overall, t accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.1,10) frames.
Overall, ax accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.6,8) frames.
Overall, k accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,11) frames.
Overall, z accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.6,19) frames.
Overall, m accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,13) frames.
Overall, eh accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,15) frames.
Overall, p accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.9,11) frames.
Overall, d accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.9,11) frames.
Overall, dh accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,10) frames.
Overall, ae accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.4,20) frames.
Overall, ey accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.6,20) frames.
Overall, ah accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.4,14) frames.
Overall, aa accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.1,19) frames.
Overall, w accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.7,16) frames.
Overall, f accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.6,17) frames.
Overall, b accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,4.7,7) frames.
Overall, v accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,11) frames.
Overall, uw accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.2,20) frames.
Overall, ay accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.0,24) frames.
Overall, ao accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.8,21) frames.
Overall, dx accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.5,7) frames.
Overall, hh accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,14) frames.
Overall, ow accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.9,21) frames.
